edad,Mujer,Hombre
0 a 4,0,0
5 a 9,1,0
10 a 14,0,1
15 a 17,0,0
18 a 19,0,0
20 a 24,3,0
25 a 29,0,1
30 a 34,0,2
35 a 39,2,0
40 a 44,0,0
45 a 49,0,0
50 a 54,0,0
55 a 59,0,0
60 a 64,0,0
65 s 69,0,0
70 a 74,0,0
75 a 79,0,0
80 y más,0,0
